Type,Date,Open,High,Low,Close,Adj Close,Volume
Amazon,2022/10/28,97.910004,103.959999,97.660004,103.410004,103.410004,223133400
Amazon,2022/10/31,103.559998,104.870003,100.739998,102.440002,102.440002,99251400
Amazon,2022/11/1,103.989998,104.580002,96.059998,96.790001,96.790001,153370000
Amazon,2022/11/2,97.32,97.739998,92.010002,92.120003,92.120003,135761800
Amazon,2022/11/3,92.470001,93.5,89.019997,89.300003,89.300003,136683300
Amazon,2022/11/4,91.489998,92.440002,88.040001,90.980003,90.980003,129101300
Amazon,2022/11/7,91.949997,92.099998,89.040001,90.529999,90.529999,77495700
Amazon,2022/11/8,90.790001,91.720001,88.230003,89.980003,89.980003,88703400
Amazon,2022/11/9,89.470001,89.480003,85.870003,86.139999,86.139999,90796200
Amazon,2022/11/10,92.940002,98.690002,91.650002,96.629997,96.629997,173414900
Amazon,2022/11/11,97.879997,101.190002,96.660004,100.790001,100.790001,111590500
Amazon,2022/11/14,98.769997,100.120003,97.290001,98.489998,98.489998,99533100
Amazon,2022/11/15,103.209999,103.790001,97.339996,98.940002,98.940002,111336300
Amazon,2022/11/16,96.849998,98.489998,95.540001,97.120003,97.120003,87958800
Amazon,2022/11/17,95.370003,96.970001,94.029999,94.849998,94.849998,82617900
Amazon,2022/11/18,95.949997,95.989998,92.480003,94.139999,94.139999,72428200
Amazon,2022/11/21,93.970001,95.019997,90.589996,92.459999,92.459999,84330300
Amazon,2022/11/22,92.620003,93.349998,90.870003,93.199997,93.199997,62192000
Amazon,2022/11/23,93.239998,94.580002,92.830002,94.129997,94.129997,59414700
Amazon,2022/11/25,93.790001,94.43,93.07,93.410004,93.410004,35088600
Amazon,2022/11/28,93.93,96.400002,93.43,93.949997,93.949997,74943100
Amazon,2022/11/29,94.040001,94.410004,91.440002,92.419998,92.419998,65567300
Amazon,2022/11/30,92.470001,96.540001,91.529999,96.540001,96.540001,102805800
Amazon,2022/12/1,96.989998,97.230003,94.919998,95.5,95.5,68488000
Amazon,2022/12/2,94.480003,95.360001,93.779999,94.129997,94.129997,72496400
Amazon,2022/12/5,93.050003,94.059998,90.82,91.010002,91.010002,71535500
Amazon,2022/12/6,90.5,91.040001,87.900002,88.25,88.25,75503600
Amazon,2022/12/7,88.339996,89.889999,87.480003,88.459999,88.459999,68086900
Amazon,2022/12/8,89.239998,90.860001,87.879997,90.349998,90.349998,73305900
Amazon,2022/12/9,88.900002,90.300003,88.629997,89.089996,89.089996,67398500
Amazon,2022/12/12,89.209999,90.580002,87.870003,90.550003,90.550003,61999800
Amazon,2022/12/13,95.230003,96.25,90.519997,92.489998,92.489998,100212000
Amazon,2022/12/14,92.5,93.459999,89.870003,91.580002,91.580002,70298000
Amazon,2022/12/15,89.889999,89.970001,87.470001,88.449997,88.449997,84802900
Amazon,2022/12/16,88.269997,89.349998,86.730003,87.860001,87.860001,146144100
Amazon,2022/12/19,87.510002,87.629997,84.510002,84.919998,84.919998,83531500
Amazon,2022/12/20,85.330002,86.610001,84.330002,85.190002,85.190002,74348300
Amazon,2022/12/21,86.18,87.230003,85.209999,86.769997,86.769997,59267200
Amazon,2022/12/22,85.519997,85.68,82.25,83.790001,83.790001,81431300
Amazon,2022/12/23,83.25,85.779999,82.93,85.25,85.25,57433700
Amazon,2022/12/27,84.970001,85.349998,83,83.040001,83.040001,57284000
Amazon,2022/12/28,82.800003,83.480003,81.690002,81.82,81.82,58228600
Amazon,2022/12/29,82.870003,84.550003,82.550003,84.18,84.18,54995900
Amazon,2022/12/30,83.120003,84.050003,82.470001,84,84,62330000
Amazon,2023/1/3,85.459999,86.959999,84.209999,85.82,85.82,76706000
Amazon,2023/1/4,86.550003,86.980003,83.360001,85.139999,85.139999,68885100
Amazon,2023/1/5,85.330002,85.419998,83.07,83.120003,83.120003,67930800
Amazon,2023/1/6,83.029999,86.400002,81.43,86.080002,86.080002,83219100
Amazon,2023/1/9,87.459999,89.480003,87.080002,87.360001,87.360001,65266100
Amazon,2023/1/10,87.57,90.190002,87.290001,89.870003,89.870003,67756600
